Date,BLK Equity,SPXT Index,H15T1Y Index
12/4/2000,42.75,1842.36,5.88
12/5/2000,44,1914.09,5.79
12/6/2000,45,1879.58,5.72
12/7/2000,45.438,1868.63,5.74
12/8/2000,47.5,1905.29,5.77
12/11/2000,47.125,1919.65,5.79
12/12/2000,45,1907.1,5.79
12/13/2000,44.75,1891.93,5.74
12/14/2000,44.25,1865.45,5.7
12/15/2000,43.188,1825.42,5.65
12/18/2000,45.25,1840.18,5.58
12/19/2000,43.438,1816.36,5.58
12/20/2000,41.75,1759.62,5.46
12/21/2000,40.125,1773.71,5.33
12/22/2000,38.5,1817,5.25
12/26/2000,39.313,1829.83,5.31
12/27/2000,41.125,1849.34,5.32
12/28/2000,43.375,1856.76,5.4
12/29/2000,42,1837.36,5.32
1/2/2001,40,1785.86,5.11
1/3/2001,39.813,1875.56,5.04
1/4/2001,39.375,1855.82,4.82
1/5/2001,35.75,1807.13,4.6
1/8/2001,36.5,1804.04,4.61
1/9/2001,36.313,1810.98,4.71
1/10/2001,37.875,1828.5,4.82
1/11/2001,36.625,1847.37,4.84
1/12/2001,37,1835.53,4.96
1/16/2001,38,1847.13,4.95
1/17/2001,40.25,1851.16,4.91
1/18/2001,40.375,1876.94,4.76
1/19/2001,39.813,1869.38,4.79
1/22/2001,39.938,1869.89,4.79
1/23/2001,40.313,1894.25,4.85
1/24/2001,39.188,1899.71,4.86
1/25/2001,39.5,1890.27,4.83
1/26/2001,39.563,1886.8,4.8
1/29/2001,41.25,1899.75,4.78
1/30/2001,40.79,1913.13,4.68
1/31/2001,39.92,1902.55,4.6
2/1/2001,41,1913.11,4.56
2/2/2001,42.5,1879.69,4.67
2/5/2001,41,1886.48,4.7
2/6/2001,41.2,1883.72,4.74
2/7/2001,42.86,1868.29,4.73
2/8/2001,43,1856.66,4.74
2/9/2001,42.2,1831.96,4.68
2/12/2001,43.39,1853.65,4.7
2/13/2001,43.6,1837.77,4.77
2/14/2001,43.1,1834.1,4.84
2/15/2001,43.4,1849.15,4.9
2/16/2001,42.1,1814.22,4.78
2/20/2001,39.4,1782.75,4.77
2/21/2001,39.37,1749.86,4.74
2/22/2001,39.01,1746.5,4.68
2/23/2001,39.75,1736.82,4.58
2/26/2001,42.1,1767.29,4.48
2/27/2001,41,1753.88,4.47
2/28/2001,39.4,1729.07,4.47
3/1/2001,40.3,1730.92,4.45
3/2/2001,40.51,1721.09,4.48
3/5/2001,39.56,1731.42,4.51
3/6/2001,39.6,1748.74,4.5
3/7/2001,39.9,1760.36,4.44
3/8/2001,39.95,1764.39,4.42
3/9/2001,37.6,1720.71,4.46
3/12/2001,38.03,1646.42,4.43
3/13/2001,38.99,1671.19,4.43
